problem_id,problem_text,solution_text
1,A car covers 150 km in 3 hours. What is its speed?,Speed = Distance / Time = 150 / 3 = 50 km/hr
2,The sum of two numbers is 40 and their difference is 10. Find the numbers.,"Let x + y = 40, x − y = 10 → x = 25, y = 15"
3,"If a book costs $12 and you buy 5 books, how much do you spend?",Total cost = 12 × 5 = $60
4,A rectangle has a length of 10 cm and width of 6 cm. What is its area?,Area = Length × Width = 10 × 6 = 60 cm²
5,"If 40% of a number is 80, what is the number?",Let x be the number: 0.4x = 80 → x = 200
6,A train travels at 60 km/h. How far does it travel in 2.5 hours?,Distance = Speed × Time = 60 × 2.5 = 150 km
7,The perimeter of a square is 36 cm. What is the length of each side?,Perimeter = 4 × side → 36 = 4s → s = 9 cm
8,"If 3 pens cost $6, how much do 8 pens cost?",Cost per pen = 6/3 = $2 → 8 pens = 8 × 2 = $16
9,The sum of three consecutive numbers is 51. Find the numbers.,"Let x, x+1, x+2 be the numbers: x + (x+1) + (x+2) = 51 → x = 16. Numbers are 16, 17, 18"
10,A store offers a 25% discount on a $80 item. What is the sale price?,Discount = 0.25 × 80 = $20 → Sale price = 80 - 20 = $60
11,"If the ratio of boys to girls is 3:2 and there are 15 boys, how many girls are there?",3:2 = 15:x → 3x = 30 → x = 10 girls
12,A circle has a radius of 5 cm. What is its circumference? (Use π ≈ 3.14),Circumference = 2πr = 2 × 3.14 × 5 = 31.4 cm
13,"If a worker earns $15 per hour and works 40 hours a week, what is the weekly earnings?",Weekly earnings = 15 × 40 = $600
14,The area of a triangle is 30 cm² and its base is 10 cm. What is the height?,Area = (Base × Height)/2 → 30 = (10 × h)/2 → h = 6 cm
15,"If you have $500 and spend 30% of it, how much is left?",Amount spent = 0.3 × 500 = $150 → Amount left = 500 - 150 = $350
16,A recipe requires 2 cups of flour for 24 cookies. How much flour is needed for 36 cookies?,Proportion: 2/24 = x/36 → x = 3 cups
17,"If the average of 4 numbers is 25, what is their sum?",Sum = Average × Count = 25 × 4 = 100
18,A tank holds 500 liters and is 60% full. How many liters are in the tank?,Volume = 0.6 × 500 = 300 liters
19,"If x + 5 = 20, what is the value of x?",x = 20 - 5 = 15
20,The cost of 6 notebooks is $18. What is the cost of 10 notebooks?,Cost per notebook = 18/6 = $3 → 10 notebooks = 10 × 3 = $30
21,"If a car depreciates by 15% each year and costs $20,000 now, what will it cost after 1 year?","Depreciation = 0.15 × 20,000 = $3,000 → New price = 20,000 - 3,000 = $17,000"
22,"The sum of angles in a triangle is 180°. If two angles are 50° and 70°, what is the third angle?",Third angle = 180 - 50 - 70 = 60°
