problem_id,clean_text,symbolic_fingerprint,problem_type,difficulty_level,equation_count,variable_count
1,A car covers 150 km in 3 hours. What is its speed?,v1*v2**2*v3*v4 - 50,physics,Hard,1,4
2,The sum of two numbers is 40 and their difference is 10. Find the numbers.,v1 + v2 - 40; v1 - v2 - 10,arithmetic,Medium,2,2
3,"If a book costs $12 and you buy 5 books, how much do you spend?",v1*v2*v3*v4**2 - 60,algebra,Hard,1,4
4,A rectangle has a length of 10 cm and width of 6 cm. What is its area?,v1*v2*v3*v4*v5*v6 - 10,geometry,Hard,1,6
5,"If 40% of a number is 80, what is the number?",v1*v2*v3*v4 - 32,unknown,Hard,1,4
6,A train travels at 60 km / h. How far does it travel in 2.5 hours?,v1*v2*v3*v4**2*v5*v6*v7 - 2,unknown,Hard,1,7
7,The perimeter of a square is 36 cm. What is the length of each side?,v1**2*v3*v5 - 81; v2*v3*v4*v6 - 9,geometry,Hard,2,6
8,"If 3 pens cost $6, how much do 8 pens cost?",v1*v3*v4*v5**2 - 48; v2 - 2,unknown,Hard,2,5
9,The sum of three consecutive numbers is 51. Find the numbers.,v1 + v2 - 51,arithmetic,Easy,1,2
10,A store offers a 25% discount on a $80 item. What is the sale price?,v1*v2*v3*v5 - 20; v4 - 60,finance,Hard,2,5
11,"If the ratio of boys to girls is 3:2 and there are 15 boys, how many girls are there?",v1 + v2 - 15; v1/3 - v2/2,algebra,Medium,2,2
12,A circle has a radius of 5 cm. What is its circumference? ( Use π ≈ 3.14 ),v1*v2*v3*v4*v5*v6 - 3,geometry,Hard,1,6
13,"If a worker earns $15 per hour and works 40 hours a week, what is the weekly earnings?",v1*v2*v3*v4*v5*v6 - 15,algebra,Hard,1,6
14,The area of a triangle is 30 cm² and its base is 10 cm. What is the height?,v1*v2*v3*v4*v5*v6 - 30,geometry,Hard,1,6
15,"If you have $500 and spend 30% of it, how much is left?",v1*v2*v3*v4*v5*v6 - 500,algebra,Hard,1,6
16,A recipe requires 2 cups of flour for 24 cookies. How much flour is needed for 36 cookies?,v1*v2*v3*v4**2*v5*v6*v7 - 36,unknown,Hard,1,7
17,"If the average of 4 numbers is 25, what is their sum?",,arithmetic,Easy,0,0
18,A tank holds 500 liters and is 60% full. How many liters are in the tank?,v1*v2*v3*v4*v5*v6 - 500,algebra,Hard,1,6
19,"If x + 5 = 20, what is the value of x?",-15,algebra,Easy,1,0
20,The cost of 6 notebooks is $18. What is the cost of 10 notebooks?,v1*v2*v3*v4*v5*v6 - 10,unknown,Hard,1,6
21,"If a car depreciates by 15% each year and costs $20,000 now, what will it cost after 1 year?",v1*v2*v3*v4 - 3,algebra,Hard,1,4
22,"The sum of angles in a triangle is 180°. If two angles are 50° and 70°, what is the third angle?",v1*v2*v3*v4*v5*v6 - 180,geometry,Hard,1,6
23,"If you invest $1,000 at 5% annual interest, how much interest will you earn in 1 year?",v1*v2*v3*v4 - 1/20,algebra,Hard,1,4
24,"A photo is 8 inches by 6 inches. If you enlarge it by a scale factor of 1.5, what are the new dimensions?",v1*v2*v3*v4*v5*v6 - 8,algebra,Hard,1,6
25,"If the population of a city increases by 20% and was 100,000, what is the new population?",v1*v3*v4*v5 - 20; v2 - 120,algebra,Hard,2,5
26,"A student scored 85, 90, and 88 on three tests. What is the average score?",v1*v2*v3*v4*v5*v6 - 85,arithmetic,Hard,1,6
27,"If a recipe serves 4 people and uses 2 eggs, how many eggs are needed to serve 10 people?",v1**2*v2**3*v5 - 5; v1*v2**2*v3*v6*v7**2*v8 - 5; v4 - 5,algebra,Hard,3,8
28,"The distance between two cities is 300 km. If a car travels at 75 km / h, how long does it take?",v1*v2*v3*v4*v5*v6 - 300,physics,Hard,1,6
29,"If the probability of an event is 0.25, what is the probability it does not occur?",v1*v2*v3*v4*v5*v6,algebra,Hard,1,6
30,A store buys items for $50 and sells them for $80. What is the profit margin percentage?,v1*v2*v3*v4*v5*v6 - 50,algebra,Hard,1,6
31,"If 15% of a number is 45, what is 30% of that number?",v1*v2*v3*v4 - 27/4,unknown,Hard,1,4
32,A rectangular garden is 20 meters long and 15 meters wide. What is its perimeter?,v1*v2*v3*v4*v5*v6 - 20,geometry,Hard,1,6
33,"If a subscription costs $10 per month, how much does it cost for 2 years?",v1*v2*v3*v4**2 - 240,algebra,Hard,1,4
34,The area of a square is 64 cm². What is its perimeter?,v1*v2*v3*v4*v5*v6 - 64,geometry,Hard,1,6
35,"If you save $50 per week, how much will you save in 1 year?",v1**2*v2*v3**2*v4 - 2600,algebra,Hard,1,4
36,"A ball is dropped from 100 meters. If it bounces to 80% of its previous height, how high is the first bounce?",v1*v2*v3*v4*v5*v6 - 100,geometry,Hard,1,6
37,"If the tax rate is 8% and an item costs $50, what is the total cost including tax?",v1*v2*v3*v4 - 4,algebra,Hard,1,4
38,"A class has 30 students. If 20% are absent, how many are present?",v1*v2*v3*v4*v5*v6 - 30,algebra,Hard,1,6
39,"If 2x + 3 = 13, what is the value of x?",-10,algebra,Easy,1,0
40,"The ratio of apples to oranges in a basket is 5:3. If there are 15 apples, how many oranges are there?",v1 + v2 - 15; v1/5 - v2/3,algebra,Medium,2,2
41,"A book is on sale for 35% off. If the original price is $40, what is the sale price?",v1*v2*v3*v5 - 14; v4 - 26,unknown,Hard,2,5
42,"The volume of a rectangular prism is 120 cm³. If the length is 10 cm and width is 4 cm, what is the height?",v1*v2*v3*v4*v5*v6 - 120,geometry,Hard,1,6
